GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LearningManagementSystem,com.psl.service,ManagerService,12,118,2,2,2,23,3,8,1,8
LearningManagementSystem,com.psl.service,TrainerService,124,323,2,4,21,56,8,12,6,11
LearningManagementSystem,com.psl.service,CourseOfferingService,300,817,13,25,41,132,17,28,8,18
LearningManagementSystem,com.psl.service,TeacherCourseMappingService,215,224,9,7,38,38,10,12,4,10
LearningManagementSystem,com.psl.service,CourseService,40,65,1,1,6,12,3,5,2,5
LearningManagementSystem,com.psl.service,LearnerService,90,339,2,4,15,60,8,12,6,11
LearningManagementSystem,com.psl.service,EmailSenderService,0,59,0,0,0,13,0,3,0,3
LearningManagementSystem,com.psl,LearningManagementSystemApplication,8,7,0,0,3,2,1,2,1,2
LearningManagementSystem,com.psl.controller,CourseController,39,10,0,0,12,3,5,2,5,2
LearningManagementSystem,com.psl.controller,HomeController,2,3,0,0,1,1,1,1,1,1
LearningManagementSystem,com.psl.controller,ManagerController,284,10,4,0,78,3,24,2,22,2
LearningManagementSystem,com.psl.controller,TrainerController,311,10,8,0,73,3,16,2,12,2
LearningManagementSystem,com.psl.controller,CourseOfferingController,42,10,0,0,10,3,5,2,5,2
LearningManagementSystem,com.psl.controller,LearnerController,227,10,4,0,53,3,12,2,10,2
LearningManagementSystem,com.psl.controller,TeacherCourseMappingController,59,10,0,0,17,3,5,2,5,2
LearningManagementSystem,com.psl.entities,RatingAndComment,43,0,0,0,13,0,7,0,7,0
LearningManagementSystem,com.psl.entities,Course,22,66,0,0,10,15,6,7,6,7
LearningManagementSystem,com.psl.entities,Learner,0,103,0,0,0,29,0,15,0,15
LearningManagementSystem,com.psl.entities,TeacherCourseMapping,8,50,0,0,4,13,2,7,2,7
LearningManagementSystem,com.psl.entities,TeacherCoursesTaught,88,0,0,0,25,0,13,0,13,0
LearningManagementSystem,com.psl.entities,CourseOffering,132,107,38,0,30,25,24,17,5,17
LearningManagementSystem,com.psl.entities,User,28,3,0,0,12,1,8,1,8,1
LearningManagementSystem,com.psl.entities,Trainer,0,103,0,0,0,29,0,15,0,15
LearningManagementSystem,com.psl.entities,CourseOfferingStatus,0,64,0,0,0,2,0,1,0,1
LearningManagementSystem,com.psl.entities,Manager,18,70,0,0,7,18,1,12,1,12
LearningManagementSystem,com.psl.entities,CourseAttended,103,0,0,0,29,0,15,0,15,0
LearningManagementSystem,com.psl.security,RESTAuthenticationEntryPoint,9,9,0,0,3,4,1,2,1,2
LearningManagementSystem,com.psl.security,LearnerUserDetails,39,3,2,0,12,1,2,1,1,1
LearningManagementSystem,com.psl.security,SecurityConfiguration,0,7,0,0,0,2,0,2,0,2
LearningManagementSystem,com.psl.security,SecurityConfiguration.TrainerSecurityConfiguration,0,38,0,0,0,10,0,3,0,3
LearningManagementSystem,com.psl.security,AdminUserDetails,39,3,2,0,12,1,2,1,1,1
LearningManagementSystem,com.psl.security,SecurityConfiguration.AdminSecurityConfiguration,0,38,0,0,0,10,0,3,0,3
LearningManagementSystem,com.psl.security,TrainerUserDetails,39,3,2,0,12,1,2,1,1,1
LearningManagementSystem,com.psl.security,SecurityConfiguration.LearnerSecurityConfiguration,0,38,0,0,0,10,0,3,0,3
LearningManagementSystem,com.psl.utils,ExcelFields,15,21,0,0,8,8,4,4,4,4
LearningManagementSystem,com.psl.utils,ExcelHelper,0,133,0,6,0,30,0,5,0,2
